1775410200 38.3 88.6
1775410500 77.7 91.5
1775410800 79.3 33.5
1775411100 38.6 49.2
1775411400 64.9 42.1
1775411700 36.2 2.7
1775412000 69 5.9
1775412300 76.3 92.6
1775412600 54 42.6
1775412900 17.2 73.6
1775413200 21.1 36.8
1775413500 56.7 42.9
1775413800 78.2 53
1775414100 86.2 12.3
1775414400 6.7 13.5
1775414700 92.9 80.2
1775415000 2.2 5.8
1775415300 6.9 16.7
1775415600 39.3 45.6
1775415900 1.1 4.2
1775416200 22.9 37.3
1775416500 42.1 91.9
1775416800 78.4 53.7
1775417100 19.8 32.4
1775417400 31.5 37
1775417700 41.3 52.6
1775418000 9.1 98
1775418300 95.6 87.3
1775418600 86.2 17
1775418900 99.6 28.1
1775419200 30.5 92.5
1775419500 8.4 32.7
1775419800 33.6 50.5
1775420100 84.6 72.9
1775420400 31.3 85.7
1775420700 12.4 89.5
1775421000 58.2 54.5
1775421300 81.4 36.7
1775421600 43.4 36.4
1775421900 4.3 75
1775422200 8.7 80.8
1775422500 27.6 17.8
1775422800 78.8 58.4
1775423100 40.3 65.1
1775423400 75.4 39.9
1775423700 93.2 6
1775424000 67.6 36.8
1775424300 73.9 1.2
1775424600 22.6 58.6
1775424900 9.4 53.9
1775425200 79.5 57
1775425500 43.4 37.8
1775425800 46.7 60.1
1775426100 9.7 90.2
1775426400 31.7 49.2
1775426700 65.2 75.6
1775427000 30.1 28
1775427300 28.6 44.1
1775427600 86.5 68.9
1775427900 44.4 61.9
1775428200 44 72.9
1775428500 3.1 11.7
1775428800 9.7 77.1
1775429100 48.1 67.5
1775429400 70.9 92.7
1775429700 56.7 85.6
1775430000 49.7 35.3
1775430300 58.6 96.5
1775430600 30.6 68.3
1775430900 21.9 62.4
1775431200 52.8 87.1
1775431500 73.2 82.9
1775431800 50.3 1.9
1775432100 27 36.8
1775432400 70.8 71.5
1775432700 34 14.9
1775433000 79.6 72.3
1775433300 61.8 24.5
1775433600 84.6 45.1
1775433900 92.1 55.5
1775434200 37.9 48.8
1775434500 76.4 22.8
1775434800 84.1 35
1775435100 19.3 50
1775435400 3.4 76.4
1775435700 12.4 91.4
1775436000 98.7 85.6
1775436300 74.3 49.1
1775436600 22.7 36.5
1775436900 85.9 93.6
1775437200 43.2 55.1
1775437500 43.7 22.8
1775437800 27.5 40.7
1775438100 47.4 12.1
1775438400 85.8 39.5
1775438700 2.9 23.7
1775439000 23.5 79.3
1775439300 81.8 42.8
1775439600 14.3 1.1
1775439900 92.8 52.9
1775440200 77.6 40.4
1775440500 44.3 76.3
1775440800 61.3 53.8
1775441100 60.6 84
1775441400 90.4 81.8
1775441700 12.8 68.8
1775442000 36.9 91.7
1775442300 91.7 99.6
1775442600 32.4 74.3
1775442900 47 18.3
1775443200 49 49.9
1775443500 77.2 72.5
1775443800 64.4 59
1775444100 50.5 13.9
1775444400 95.4 78.6
1775444700 66.9 8.2
1775445000 54.2 46.4
1775445300 19.7 50.7
1775445600 35.5 80.4
1775445900 34.8 61.1
1775446200 62.2 82.8
1775446500 29.9 34.3
1775446800 74.6 56.8
1775447100 34 42.2
1775447400 31.1 81
1775447700 60.5 80.1
1775448000 66.1 73
1775448300 87.8 30.5
1775448600 32 73.6
1775448900 44.4 62.6
1775449200 52.2 46.5
1775449500 70.8 41.6
1775449800 28.2 25.8
1775450100 92.4 63.7
1775450400 6.2 62.4
1775450700 60 3.6
1775451000 45.2 89.9
1775451300 37.9 55
1775451600 46.8 7.1
1775451900 97.3 13.1
1775452200 88.1 93
1775452500 93.3 89.4
1775452800 66 16.3
1775453100 19.9 98.1
1775453400 89.9 99.6
1775453700 95.9 77.3
1775454000 81.3 66.8
1775454300 19 9.5
1775454600 92.6 46.6
1775454900 8.4 34
1775455200 9 68.4
1775455500 37.6 54.2
1775455800 93.6 10.7
1775456100 44.5 75.6
1775456400 17.9 41.8
1775456700 88.7 41.2
1775457000 34.8 17.2
1775457300 65.9 0.9
1775457600 33.6 21
1775457900 34.2 58.7
1775458200 20.6 30.1
1775458500 71.3 37.2
1775458800 32.1 25.5
1775459100 81.9 59.9
1775459400 72.1 90.4
1775459700 93.9 81.1
1775460000 94 66.7
1775460300 70.5 22.8
1775460600 12.7 15
1775460900 98.4 65.8
1775461200 92 22.4
1775461500 42.2 26.9
1775461800 39.6 8.1
1775462100 63 8.4
1775462400 29.2 97.2
1775462700 67.2 85
1775463000 62.5 38.5
1775463300 22.2 29.9
1775463600 64 4.2
1775463900 89.8 71.3
1775464200 29.8 19
1775464500 52.4 59
1775464800 20.9 58.1
1775465100 81.9 33.6
1775465400 73.2 15.5
1775465700 99.4 0.4
1775466000 37.9 76.9
1775466300 27.3 77.6
1775466600 85 25.5
1775466900 86 14.2
1775467200 57.9 88.4
1775467500 99.3 20.5
1775467800 62.1 56.7
1775468100 50.4 61.3
1775468400 96.1 75.4
1775468700 32.6 25.9
1775469000 94.4 20.2
1775469300 20.2 50.6
1775469600 78.4 2.1
1775469900 84.2 86.8
1775470200 52.8 18.9
1775470500 87.2 90.8
1775470800 95.8 49.8
1775471100 3.6 80.8
1775471400 75.3 24.8
1775471700 30.3 33.3
1775472000 13.3 64.8
1775472300 89 75.4
1775472600 56.7 74.6
1775472900 36.8 52.9
1775473200 50 4.6
1775473500 78.8 79.7
1775473800 24.9 99
1775474100 30.3 3.3
1775474400 36.3 49.7
1775474700 25.3 89.2
1775475000 68.6 12.5
1775475300 15.2 99.6
1775475600 97.5 18.8
1775475900 15.7 72.9
1775476200 43.6 46
1775476500 41.4 92.1
1775476800 46 30.4
1775477100 2.8 2.7
1775477400 5 74.8
1775477700 55.6 90.2
1775478000 79.4 69.7
1775478300 69.9 4.3
1775478600 3.9 0.2
1775478900 42.8 40.3
1775479200 50 68.1
1775479500 64.7 53.8
1775479800 15.9 15.1
1775480100 53.5 13.4
1775480400 33.9 69.2
1775480700 21.5 12.7
1775481000 50.4 62.9
1775481300 4.9 96.4
1775481600 28.5 42.9
1775481900 34.3 33.5
1775482200 17.7 90
1775482500 23.8 97.1
1775482800 94.9 28.9
1775483100 36.7 98.8
1775483400 29.2 79.5
1775483700 74.3 14.4
1775484000 82.9 39
1775484300 68.2 34
1775484600 54.1 56.9
1775484900 82.6 23.2
1775485200 26.1 4.2
1775485500 36 11.7
1775485800 2.3 76.1
1775486100 8.1 30.9
1775486400 19 42.5
1775486700 99.6 36.7
1775487000 67.7 23.4
1775487300 69 62.6
1775487600 52.4 5.7
1775487900 61.4 16.8
1775488200 20.5 35.8
1775488500 31.2 38.6
1775488800 10 34.6
1775489100 72.6 99.4
1775489400 91.6 55.2
1775489700 57.8 52.9
1775490000 94.6 29
1775490300 64.7 97
1775490600 5.1 8
1775490900 63.1 59.3
1775491200 85.7 62.7
1775491500 31.2 88.6
1775491800 21.4 35.5
1775492100 51.2 9
1775492400 41.2 47.9
1775492700 61 96.9
1775493000 18.9 27.4
1775493300 35.5 64.1
1775493600 62 43.3
1775493900 98.7 88.8
1775494200 33.8 56.6
1775494500 77 28.4
1775494800 85.6 41.7
1775495100 60.6 26
1775495400 84.9 23.7
1775495700 20.5 5.9
1775496000 21.7 51.8
1775496300 94.5 78.3
1775496600 87.3 45.8
1775496900 87.3 63.7
1775497200 28.9 48.3
1775497500 60.7 47.8
1775497800 75.7 31.4
1775498100 47.1 72.9
1775498400 10 45.9
1775498700 61.8 43.8
1775499000 2.5 38.8
1775499300 7.4 23.3
1775499600 15.7 68.1
1775499900 49.3 35.8
1775500200 27 69.9
1775500500 41.7 83.9
1775500800 56.9 36.3
1775501100 62.2 79.4
1775501400 17.3 84.7
1775501700 43.1 46.2
1775502000 68.2 39
1775502300 29.2 79.1
1775502600 5.7 11.5
1775502900 52.1 15.7
1775503200 57.4 49.1
1775503500 94.7 95.1
1775503800 23.1 2.1
1775504100 53.7 74
1775504400 5.4 3
1775504700 9.8 32.5
1775505000 8.1 51.6
1775505300 51.6 0.2
1775505600 23.1 13.9
1775505900 79.6 40.4
1775506200 33.8 58
1775506500 21.8 2.1
1775506800 97 86.2
1775507100 81.2 37.9
1775507400 97.7 68.5
1775507700 53.6 90.4
1775508000 17.6 48.3
1775508300 20.7 75.9
1775508600 85.7 74.4
1775508900 49.9 91.1
1775509200 12.7 95
1775509500 23.6 56
1775509800 81.8 10.5
1775510100 56.3 4.9
1775510400 24.4 71.1
1775510700 80.5 93.4
1775511000 29.1 37.5
1775511300 95.5 61.4
1775511600 58.9 76.8
1775511900 99.3 91.8
1775512200 80.5 88.2
1775512500 82.2 98.2
1775512800 71.7 3
1775513100 9.3 57.4
1775513400 12.6 59.3
1775513700 48.6 25.3
1775514000 54.3 7.4
1775514300 81.4 71.3
1775514600 17.9 37.7
